순번,주제,용어,설명
1339,경제,빅맥지수,"세계 각국에서 판매되고 있는 맥도날드 빅맥 햄버거의 가격을 미국에서의 판매가격과 같게 만들어주는 환율. 영국의 경제주간지 「이코노미스트(The Economist)」가 1986년부터 매년 조사, 발표하고 있다. 만일 실제환율이 빅맥지수보다 낮으면 해당 국가의 통화가 고평가되어 있음을, 반대로 높으면 저평가되어 있는 것으로 해석할 수 있다."
1348,금융,사모투자전문회사,"소수(50인 미만)의 투자자로부터 자금을 모아 그 재산을 주식 또는 지분에 투자하고, 투자한 회사의 기업가치를 제고하여 수익을 사원에게 배분하는 것을 목적으로 하는 간접투자기구(펀드)를 의미한다. 정부에서는 유한조합(Limited Partnership)제도를 도입하고 투자자의 위험 선호도에 따라 다양한 형태의 계약이 가능하도록 관련 규제를 대폭 완화하였다. 풍부한 시중의 부동자금이 생산적인 자금으로 전환될 수 있도록 유도하고 금융기관 및 기업의 구조조정과정에서 시중 자금이 효율적으로 공급되도록 하는 한편, 투자자들에게는 다양한 투자기회를 제공하고 금융기관에게는 새로운 사업영역을 개발하는 것을 유도하고 있다."
1349,금융,"사모펀드(私募─, Private Equity Fund(PEF))","소수의 비공개로 투자자의 자금을 모아 주식이나 채권에 투자하는 펀드로 고수익기업투자펀드라고도 한다. 고수익을 추구하지만 그만큼 위험도 크다. 소수 투자자들로부터 단순 투자 목적의 자금을 모아 펀드로 운용하는 주식형 사모펀드(일반 사모펀드)와 기관으로부터만 자금을 조달하는 기관전용 사모펀드, 그리고 특정기업의 주식을 대량으로 인수해 기업 경영에 참여하는 방식으로 기업의 가치를 높인 후 주식을 되팔아 수익을 남기는 사모투자전문회사로 구분한다."
1408,금융,상장,"증권거래소에서 매매할 수 있는 품목(종목)으로 지정하는 일을 말한다. 증권이 거래소에서 매매되면 발행회사의 사회적 평가가 높아져 증자, 기채(起債) 등이 용이해지는 등 여러 좋은 점이 있으므로 증권을 발행한 회사는 증권거래소에서 상장해 줄 것을 요청하는데, 거래소로서는 공신력을 위하여 일정한 상장심사 기준을 설정해서 선별하고 있다. 국채의 경우에는 거래소가 임의로 상장하기도 하고, 필요에 따라 정부에서 상장하도록 명령하기도 한다. 그러나 증권을 상장하는 회사는 상장 후에 일정한 요건에 미달하거나 계약을 위반하면 상장을 폐지하게 된다(금융위원회). "
1410,금융,상장지수펀드(ETF: Exchange Traded Fund),"KOSPI200지수와 KOSPI50지수와 같은 특정 주가지수의 수익률을 따라가는 지수연동형 펀드를 구성한 뒤 이를 거래소에 상장하여 주식처럼 실시간으로 매매할 수 있도록 발행ㆍ유통ㆍ환매구조를 변형한 상품을 말한다. 거래는 주식처럼 하지만 성과는 펀드와 같은 효과를 얻는다. 상장지수펀드는 인덱스 상품에 대한 인지도를 높일 수 있을 뿐만 아니라 소액으로 지수 상승률을 따라잡고 시가총액 상위 주요 종목에 분산 투자하는 효과를 거둘 수 있어 개인투자자들에게 유용하다. 상장지수펀드의 주식은 기관투자가가 보유하고 있는 유가증권을 현물 예탁함으로써 설정되며 기관투자가는 현물 예탁의 대가로 상장지수펀드의 주식을 받게 된다. 일반투자자는 상장지수펀드의 주식이 증권거래소에 상장되면 일반 주식처럼 매매를 할 수 있다. 최초의 상장지수펀드는 S&P500지수 펀드로 1993년 1월 미국 증권거래소에서 매매되기 시작했다. 우리나라에서는 2002년 10월 14일 상장지수펀드가 매매되기 시작했다. 우리나라에 도입되는 상장지수펀드의 경우 기초자산은 종합주가지수인 KOSPI가 아니라 시가총액 상위종목으로 업종대표성을 지니는 KOSPI200과 KOSPI50이다. 상장된 상장지수펀드 1주의 가격은 KOSPI200 지수에 100을 곱한 값이고 최소 거래단위는 일반주식처럼 10주이다. 2009년 시행된 자본시장법으로 신종 ETF를 개발할 수 있는 법적인 요건이 마련됨에 따라 KOSPI200 레버리지 ETF, 지수역행 ETF, 통화 ETF, 상품 ETF 등 다양한 신종 ETF가 등장하고 있다."
1411,금융,상품거래소 ,"	상품거래소는 거래상품과 단위, 시간 등이 표준화, 규격화되어 대량으로 유통되는 시장이다. 금융거래소와 달리 실체가 있는 상품을 기반으로 하기 때문에 상품 품질관리ㆍ보관 등을 위한 인프라가 필요하다. 	판매방식에 따라 현물시장과 선물시장으로 나뉘는데 대부분 선물거래를 하기 때문에 상품거래소는 종종 선물거래소라고도 한다. 품질이 균등하고 장기간에 걸쳐 저장할 수 있는 상품들을 대량으로 거래하며, 1차 생산품이 주를 이룬다. 그 예로는 농산물이나 광물, 원료 등이 있다. "
1419,금융,상환,"상환이란 채권, 단위형 투자신탁, 상환주식 등의 발행주체가 투자자에게 원금을 돌려 주는 행위를 말한다. 상환방법에는 기한이 되어 돌려주는 만기상환과 기한 중에 돌려 주는 기중상환이 있는데, 기중상환에는 미리 날짜가 정해져 있는 정기상환과, 발행자의 판단에 의하여 수시로 상환하는 수시상황이 있다. 상환을 정부가 의무화하고 있는 국채에도 일시에 금액 전부를 상환하는 일시불국채와, 정기적으로 상환하는 정기불국채, 정부의 재정상태에 따라 수시로 상환하는 수시불국채 등 3종류가 있다(금융위원회)."
1420,금융,상환전환우선주(RCPS),"상황전환우선주(Redeemable Convertble Preference Shares)는 투자자가 상황에 따라 상환을 요구할 수 있는 권리와 전환을 요구할 수 있는 권리가 부여된 우선주이다. 투자자는 미래에 발행회사의 주가가 낮을 경우, 투자금에 일정한 이자를 붙여 상환을 요청할 수 있으며, 주가가 높을 경우에는 보통주로 전환함으로써 투자수익을 창출할 수 있다."
1434,금융,서브프라임 대출(subprime lending),"프라임(Prime) 의 아래에 있는 비우량 주택담보대출을 의미한다. 미국의 주택담보대출은 신용등급에 따라 프라임(Prime), 알트에이(Alt-A), 서브프라임(Subprime) 등으로 구분된다. 서브프라임 모기지는 프라임 모기지에 비해 2~4%포인트 정도 대출 금리가 높고, 신용점수가 620점 이하인 개인에게 적용된다. 미국에서는 2001년부터 2006년까지 저금리 기조에 따른 주택 가격의 지속적인 상승을 배경으로 서브프라임 증권에 높은 등급을 부여했고, 이 증권들은 다른 금융상품 등과 결합되어 전세계적으로 판매되었다. 그러나 2004년 미국에서 저금리 정책을 종료하면서 미국의 부동산 버블이 꺼지기 시작하였고, 이는 저신용자들의 연체율이 급격하게 올라가는 데 기여하게 되었다. 이는 결국 서브프라임 모기지 경제위기의 단초를 제공하게 되었다. "
1435,금융,서브프라임 모기지 사태(subprime mortgage crisis),"미국의 대형 모기지 대부업체들이 파산하며 시작되었고, 국제시장에 신용경색을 불러일으킨 연쇄적 경제위기 현상을 말한다. 낮은 신용 점수를 가진 사람들에게 부동산 대출 상품을 판매하였고, 이렇게 판매한 대출 상품에 대해 상환을 받지 못하고 파산하는 대형 모기지 업체들로 인해 경제적 파장이 크게 확산되었다. "
1436,경제,서브프라임모기지론(Subprime Mortgage Loan: 비우량주택담보대출),"신용등급이 낮은 저소득층에게 주택자금을 빌려주는 미국의 주택담보대출상품. 우리말로는 ‘비우량주택담보대출’이라 한다. 미국의 주택 담보 대출은 ‘프라임’, ‘알트-A’, ‘서브프라임’의 3등급으로 구분된다. 프라임 등급은 신용이 높은 개인을 상대로 하는 주택담보 대출, 알트-A는 중간 정도의 신용을 가진 개인을 상대로 한 주택담보 대출이다. 서브프라임은 신용도가 일정 기준 이하인 저소득층을 대상으로 하는 상품이라 부실 위험이 커 일반적으로 프라임 등급보다 대출 금리가 2~4% 정도 높다.모기지 신용등급은 신용평가회사 FICO에서 대출신청자의 과거 대출 실적과 대출 잔액, 거래 기간, 신용대출 실적과 신용조회 수, 적정수준 대출 유지 여부 등 5개 부문을 기준으로 점수를 매긴다. 거래기간이 길수록, 신용점수와 비교할 때 기존대출이 적을수록, 신용조회 수가 많지 않을수록, 연체가 없고 적정수준의 대출을 유지할수록 신용점수는 높게 나온다. 2000년대 초반 미국의 부동산 가격 급등으로 모기지론 업체들이 경쟁적으로 주택담보 대출을 확대하면서 서브프라임 등급에 대한 대출 비중도 급격히 상승했다. 그러나 2000년대 중반 집값이 하락하면서 FRB(미국 연방준비제도이사회)는 17차례에 걸쳐 정책금리를 1.0%에서 5.25%로 대폭 올렸고, 이자부담이 커진 저소득층은 원리금을 제대로 갚을 수 없게 됐다. 이로 인해 서브프라임 연체율이 급상승하면서 2007년 ‘서브프라임모기지론 사태’가 일어났고, 이후 세계는 글로벌 금융위기를 맞게 됐다."
1485,금융,세타(Theta),"‘세타’는 옵션 가격이 시간에 대해 얼만큼 민감한지를 측정한다. 옵션 만기일이 줄어듦에 따른 옵션 가격 변화분을 말한다. 예를 들어 어떤 투자자가 세타 값으로 -.5를 가지는 옵션을 구매했다고 가정하면, 다른 모든 조건이 일정하다고 가정하면, 이 옵션의 가격은 하루 하루 지날수록 50 센트씩 낮아지게 된다. 즉 옵션을 구매하고 삼 일이 지났다고 한다면, 옵션의 가격은 $1.5 하락하게 되는 것이다. "
1508,경제,소비의 비가역성,소비의 비가역성은 처분 가능 소득의 소비를 결정한다는 케인스(J. M. Keynes)의 절대 소득 가설의 한계를 극복하기 위해 등장한 상대 소득 가설의 근간이 되는 개념이다. 상대 소득 가설은 소비 수준이 현재의 가처분 소득뿐만 아니라 과거의 소비 수준 또는 다른 사람의 소비 수준 등에 의해서도 영향을 받는다고 본다. 이에 따르면 현재의 소득이 감소하더라도 소비 수준은 소득이 증가할 때 나타난 증가폭보다 더 작은 폭으로 줄어드는 비가역성을 보이게 된다.
1514,경제,소비자물가지수(CPI: Consumer Price Index)ㆍ생활물가지수,"가계가 소비하는 상품들의 가격수준을 측정하는 지표. 우리나라의 경우 전국 38개 도시의 489개 재화 및 서비스의 가격을 조사하여 작성한다. 489개 품목은 가계소비지출에서 차지하는 비중이 1/10,000 이상이어야 한다는 기준에 의해 선별된다. "
1539,경영,손익분기점,"일정기간 동안의 총수입과 총비용이 일치하는 점을 손익분기점(break-even point)이라고 한다. 완전경쟁시장에서 기업의 단기평균비용곡선의 최저점은 손익분기점이 된다. 총비용은 고정비용과 가변비용으로 구성되는데, 손익분기점에서는 고정비용과 가변비용을 총수입에서 충당하고 있는 것이다. 만약 제품 가격이 손익분기점 이하의 수준으로 하락하면 기업은 손실을 입는다. 가격이 손익분기점 이하로 하락해도 토지, 자본 등 이미 투자된 고정비용이 있기 때문에 기업이 당장 조업을 중단하지는 않는다. 총수입이 총가변비용보다 더 크다면 여전히 생산을 계속할 것이며, 반대의 경우 생산을 중단할 것이다. 이런 이유로 평균가변비용곡선의 최하점을 조업중단점이라고 한다. "
1543,금융,숏커버,공매도 포지션을 청산하기 위한 주식의 재매입. 매도를 하는 것을 숏(short)이라고 한다. 숏커버의 과정을 살펴보면 주식시장에서 지수가 하락할 것으로 예상하여 투자자들은 주식을 빌려서 판매한다. 하지만 예상과 달리 지수가 상승하면 손해가 안나게 하기 위해 빌린 주식을 되갚아야 하는데 이를 위한 주식의 재매입을 숏커버라고 한다. 선물시장에서는 매도포지션을 반대매매를 통해 청산하는 환매수를 숏커버라고 한다.
1544,금융,숏플레이,환율이 하락할 것이라는 예상을 하고 실수요 없이 투기매도에 나서는 것을 말한다. ↔롱플레이: 숏플레이와는 반대로 환율이 상승할 것이라 예상하고 실수요 없이 투기매수에 나서는 것을 말한다.
1555,금융,수익률곡선,채권의 만기수익률과 만기와의 관계를 나타내는 것이 수익률곡선(Yield Curve)이다. 수익률곡선은 일반적으로 우상향하는 모습을 보인다. 정상적인 경제상황에서는 단기금리 보다는 장기금리가 높기 때문이다. 하지만 미래의 단기 이자율이 현재보다 하락할 것이라고 예상한다면 수익률곡선은 우하향을 그리기도 한다.
1563,금융,수지상등의 원칙,"보험료는 보험 가입자가 납입하는 보험료의 총액과 보험회사가 지급한 보험금과 경비의 총액이 같은 수준에서 결정돼야 한다는 원칙이다. 수지상등의 원칙에는 세 가지 조건이 있는데, ① 보험상품의 순보험료 총액 = 지급 보험금의 현가, ② 영업보험료의 총액 = 지급 모험금 및 운영경비 총액의 현가, ③ 기업의 총수입 = 총지출의 현가가 일치해야 한다는 것이다."
1601,경제,스왑 스프레드,"금리스왑(IRS) 금리와 국채 금리 간의 차이. 은행 신용도를 기반으로 한 IRS 금리가 무위험 채권인 국채 금리보다 높아 스왑 스프레드가 양(+)의 값을 가지는 것이 일반적이다. 2010년 6월 현재 유럽지역은 재정적자가 심화되고 국채 시장의 불안이 증가하면서 스왑 스프레드 (-)현상이 심화된 반면, 우리나라는 국고채 수급이 안정되고 금리가 하락세를 보이면서 스왑 스프레드가 (+) 또는 소폭의 (-)를 보이고 있다. "
1602,경제,스왑(Swap),"계약조건 등에 따라 일정시점에 자금흐름의 교환을 통해서 이루어지는 금융기법을 말한다. 이러한 거래를 스왑거래라고 하는데 스왑거래는 사전에 정해진 가격, 기간에 둘 이상의 당사자가 보다 유리하게 자금을 조달하기 위해 서로 부채를 교환하여 위험을 피하려는 금융기법이다. 스왑거래의 종류로는 금리스왑, 통화스왑 등이 있다."
1608,금융,스타지수,"기존의 '코스닥 50'지수를 대체하기 위해 만든 것으로, 코스닥 시장에 상장된 종목 중에서 시장대표성, 유동성 및 재무건전성 등을 감안하여 선정된 우량 30개 종목을 대상으로 한 지수다. 시가총액과 유동성 두 가지로만 선정되는 '코스닥50'지수는 기업의 건전성을 평가하기에 역부족이라는 한계가 있었기 때문이며, 이에 2006년부터 '코스닥 50'지수를 대신하여 스타지수가 우량주 지수가 되었다. 기업규모와 유동성 등을 감안하여 적정성 여부를 정기적으로 심사하고 있으며 2003년1월2일의 지수값 1,000을 기준으로 한다.	 구성종목 선정요건은 기존의 시가총액과 유동성 뿐만 아니라 경영투명성, 재무안전성 등이 추가되었다."
1610,경제,스태그플레이션,"물가상승을 의미하는 'Inflation'과 정체를 의미하는 “Stagnation”이 결합해 만들어진 합성어. 석유가격처럼 경제 전반의 생산 비용에 영향을 주는 원자재 가격이 급격하게 상승할 경우, 경제 전반의 생산비용 증가로 인해 물가가 상승하면서 동시에 생산이 위축되고 실업이 증가할 수 있다. 1970년대 석유수출국기구 (OPEC)의 석유생산감축으로 전세계적으로 석유가격이 급격하게 상승하면서 이상과 같은 현상이 나타났으며, 이 용어도 그 당시에 만들어졌다."
1613,경영,스톡옵션(Stock Option),"회사가 임직원들에게 일정 기간이 지난 후에 일정 수량의 자사 주식을 사전에 정한 가격으로 매입할 수 있도록 부여한 자사 주식 매입권을 말한다. 

스톡옵션을 부여받은 회사의 임직원은 자기회사 주식을 사전에 정한 행사가격으로 구입해 주가변동에 따른 차익을 획득할 수 있다. 미국의 경우 스톡옵션이 일반화되어 있어 전문경영인들의 경우 스톡옵션을 통해 본봉보다 더 많은 소득을 올리는 경우가 많다. 우리나라에서는 1997년 4월부터 개정된「증권거래법」에 따라 시행하고 있다. 이후 새로 창업한 기업들이 유능한 인재를 확보하기 위한 수단으로 이 제도를 도입함으로써 널리 알려졌으며, 스톡옵션 대상이 되는 임직원에게는 열심히 일하도록 유도할 수 있는 효과적인 능률급제도로 여겨짐으로써 현재 새로운 경영전략의 하나로 자리잡고 있다. 스톡옵션 제도는 철저하게 능력 중심으로 제공되기 때문에 직급 또는 근속연수를 바탕으로 하는 ‘우리사주조합제도’나 자사의 주식을 매입하는 임직원에게 그 비율에 따라 일정 주식을 무상으로 지급하는 ‘스톡퍼처스(stock purchase)’ 제도와는 차이가 있다."
1614,경영,스톡옵션형우리사주제,"주주총회 또는 이사회 결의로 근로자에게 일정기간 이내에 할인된 가격으로 자사주를 취득할 수 있는 권리를 부여함으로써 우리사주 취득에 따른 위험 부담을 완화할 수 있는 제도이다. 근로자 기본법에서 우리사주매수선택권이라 한다. 현재 우리사주제도는 우선배정 위주로 운영됨에 따라 취득 기회가 기업공개와 유상증자로 제한되고, 시가를 기준으로 근로자가 자기부담으로 우리사주를 취득하게 되어 있어 주가 하락시 근로자의 재산손실 위험이 상존하고 있다. 스톡옵션형 우리사주제도는 우선배정제도와 달리 근로자가 상시적으로 우리사주를 취할 수 있고, 주가 하락 시 우리사주를 구입할 수 있는 권리를 행사하지 않으면 되므로 재산손실 위험을 완화할 수 있다. 스톡옵션제도(주식매수선택권)는 회사의 설립ㆍ경영과 기술혁신 등에 기여한 임직원에 한해 시가로 자사주를 매입할 권리를 부여하는 제도인 반면, 스톡옵션형 우리사주제는 전 조합원이 시가보다 할인된 가격으로 자사주를 취득할 수 있다는 점에서 유리하다. 스톡옵션형 우리사주제도의 최대 효과는 근로자로 하여금 낮은 부담으로 우리사주를 취득할 수 있게 해 재산형성을 돕는다는 데 있다. 기업 측면에서는 당장의 비용 지출 없이 근로자에게 동기를 부여할 수 있어 생산성을 높이고, 노동조합이 주가에 악영향을 미칠 수 있는 파업 등을 낮출 수 있어 노사관계도 안정시킬 수 있는 이중적 효과를 거둘 수 있다. 기업의 성장이 직접 근로자의 주가 수익에 직결됨으로써 근로자가 기업을 공동운명체로 인식하게 된다."
1625,금융,스프레드(Spread),은행에서 대출을 받을 때 금리는 우대금리에 대출자의 신용에 따라 금융기관 수수료를 추가해 결정하는데 이를 스프레드라 한다. 다시 말하면 기준금리와 실제 거래에서 적용한 금리간의 차이를 스프레드라 하며 가산금리라고도 한다. 신용도가 떨어지면 스프레드가 커지게 된다. 위험이 크기 때문에 그만큼의 이자를 더 받아야 한다는 것이다. 또한 스프레드가 확대된다는 말을 많이 사용하는데 이는 스프레드 수익률이 확대된다는 뜻이다. 
1635,금융,시간적 가치(Time Value),"옵션 프리미엄의 일부분으로 옵션의 계약에 따라 만기일이 남았음으로 인해 가지는 가치. 옵션 프리미엄은 ‘내재 가치(intrinsic value)와 시간 가치(time value), 이렇게 두 가지로 구성된다. 여기서 ‘내재 가치’는 기초자산의 가격과 행사 가격 사이의 차이를 나타내고, 이를 제외한 옵션 프리미엄은 시간 가치로부터 기인한 것으로 본다. "
1644,경제,시장지배력(Market Power),"시장지배력이란 특정 기업이 재화나 서비스의 시장가격을 한계비용 이상으로 높일 수 있는 힘을 의미한다. 시장지배력이 극단적으로 낮은 완전경쟁시장에서는 시장가격이 한계비용과 동일한 반면, 시장지배력이 높은 독점시장에 가까워질수록 시장가격은 한계비용보다 높게 된다."
1680,금융,신용평가(Credit rating),"채무자의 신용위험을 평가한 것으로 개인, 기업, 혹은 정부로 대표될 수 있는 채무자의 채무 상환 능력과 채무자가 디폴트를 선언할 가능성을 예측함으로써 신용을 평가하고 등급을 결정한다. 개인신용등급의 경우 1등급에서부터 10등급까지 분류되어 있고, 통상적으로 6등급까지 제 1금융권에서 대출이 가능하다. 국제적으로 기업과 정부의 신용평가는 S&P(Standard & Poor's), Moody's, Fitch와 같은 신용평가회사에 의해 주로 이루어지고 있다. 이들 회사는 재무 상태와 상환 능력 등을 전반적으로 평가함으로써 해당 채무자에 대한 신용리스크에 지표를 제시하는 역할을 하고 있다."
1689,경영,신주상장,"이미 증권시장에 상장되어 있는 법인이 유상증자, 무상증자, 합병 등으로 새로 발행되는 주식을 상장하는 것을 말한다. 신주는 회사가 설립등기를 하여 성립된 후에 발행되는 주식을 뜻하며, 상장이란 일정자격을 갖춘 기업이 주식, 채권 등을 증권거래소 시장에 올려 매매할 수 있도록 하는 것을 말한다."
1690,경영,신주인수선택권,"신주인수선택권이란 기업의 경영권 방어수단의 하나로, 적대적 인수합병(M&A)이나 경영권 침해가 발생하는 경우 인수 시도자를 제외하고 기존 주주에게만 저가의 가격으로 신주인수권을 부여하는 것을 말한다. 신주인수권이 부여되면 인수 시도자의 지분은 심각하게 감소되어 인수가 불가능하게 되거나 인수비용이 크게 증가시키는 등 매수자의 매수시도를 좌절시키는 치명적인 독이 될 수 있다고 해서 포이즌 필(Poison pill) 또는 독소조항이라고도 한다.-신주인수선택권 제도는 경영자들이 경영권을 안정적으로 확보하여 외부 세력의 공격에 크게 신경을 쓰지 않고 기업경영에 집중할 수 있다는 장점이 있는 반면, 기업의 경영권을 지나치게 보호하여 정상적 M&A까지 가로막음으로써 자본시장의 발전을 저해하고 경영의 비효율성을 높일 수 있다는 단점이 있다.-본 제도는 플립오버 필(flip-over pill), 플립인 필(flip-in pill), 백엔드 필(back-end pill)로 구분한다. 플립오버 필(flip-over pill)은 적대적 M&A 시도자가 목표기업을 인수한 뒤 이를 합병하는 경우에 해당기업 주주들에게 합병 후 존속회사의 주식을 아주 낮은 가격으로 매수할 수 있는 콜옵션을 배당의 형태로 부여하는 것이다. 플립인 필(flip-in pill)은 적대적 M&A 시도자가 목표기업의 주식을 일정비율 이상 취득하는 경우에 해당기업 주주들에게 주식을 낮은 가격으로 매수할 수 있는 콜옵션을 부여하는 것이다.-백엔드 필(back-end pill)은 적대적 M&A 시도자가 목표기업 주식을 일정비율 이상 취득하면 해당기업 주주들이 보유주식을 우선주로 전환청구하거나 현금으로 상환 또는 교환해 줄 것을 청구할 수 있게 하는 것이다."
1758,금융,액면금액,"	주권(株券)이나 공채ㆍ회사채의 권면(券面)에 기재된 금액. 보통 액면으로 약칭하여 부른다. 1984년 주식의 액면은 현행 상법상 1주에 5,000원 이상으로 균일하여야 한다고 규정하였으나 1998년 관련법이 개정되어 최저 액면금액은 100원으로 정하였다. 주권에는 금액의 기재가 없고, 다만 발행주식에 대한 비율만을 표시한 무액면주도 있으나 한국에서는 발행되지 않는다. 채권에서는 일반적으로 액면 이하로 발행되고 있으며 그 시세는 액면과 무관하다. 수표ㆍ어음의 권면에 기재된 금액을 액면이라고 하는 경우도 있다.	"
1759,금융,액면병합/액면분할,"	액면병합은 액면가가 낮은 주식을 합쳐 액면가를 높이는 것을 말하고 액면분할은 액면가가 높은 주식을 분할해 액면가를 낮추는 것을 말한다. 두 경우 모두 해당 기업의 가치/자본금의 변화는 없으나, 액면병합의 경우 액면가가 높아지는 효과가, 액면분할의 경우 유동성 확보 및 신주 발행이 용이해지는 효과가 있다.	"
1760,금융,액면분할(Stock Split),"액면분할이란 납입자본금의 증감 없이 기존 주식의 액면가격을 일정 비율로 분할하여 발행주식의 총 수를 늘리는 것을 말한다. 예를 들어 5천원짜리 1주를 둘로 나누어 2천5백원짜리 2주를 만드는 것이다. 예컨대 액면가액 5천원의 주식이 시장에서 2만원에 거래되는 경우, 액면가액 2천5백원의 주식으로 분할하면 그 주식의 시장가격은 1만원으로 하향 조정된다.일반적으로 액면분할은 어떤 주식의 시장 가격이 과도하게 높게 형성되어 주식 거래가 부진하거나 신주 발행이 어려운 경우 등에 행해진다. 이런 경우 액면분할을 함으로써 주당 가격을 낮추어 주식 거래를 촉진할 수 있다. 보통 액면분할을 하면 주가가 많이 오른다. 액면분할 후 1주당 가격이 낮아지기 때문에 투자자들이 주가가 싸졌다고 느끼는데서 나타나는 현상으로 분석된다.기업주 입장에서 액면분할은 주식의 분산효과가 나타나 적대적 M&A에 대항할 수 있는 등 경영권 방어에 일조할 수 있다. 또한 기업가치에 변동 없이 주식수가 늘어난다는 측면에서 무상증자와 같은 효과가 발생할 수 있다. 그렇지만 액면가 대비 기업가치를 보면 무상증자의 경우는 발행주식수를 늘릴 만큼 기업가치가 감소하는데 액면분할의 경우는 실시 전과 차이가 없다. 미국에서는 우량주들은 주가가 일정 수준이상 오르면 액면분할을 실시하여 유동성을 늘리는 것이 일반화되어 있다. 한편 주식 이외에 채권의 경우에도 증권시장에서의 유동성을 확보하고 신주 발행을 용이하게 하기 위하여 액면분할을 한다. 채권인 경우에는 보통 권면분할의 방법을 이용한다.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            "
1775,금융,약정금리,"은행 등의 금융기관이 기업을 상대로 금전을 대출하거나 어음을 할인하는 경우에 약속하는 금리로서 표면금리라고도 한다. 그러나 현실적으로 금융기관은 대출 조건으로 예금과 담보를 요구해 대출금의 일부를 구속하는 경우가 많기 때문에 차주가 사용할 수 있는 자금량은 적어지며, 실질적인 금리부담은 약정금리보다 높은 것이 보통이다. "
1779,금융,양도성예금증서,"	은행의 정기예금에 양도성을 부여한 무기명 증권이다. 발행기관은 은행이고 유통기관은 증권사와 종합금융회사이다. 예금증서는 1900년대 초부터 개인과 기업의 저축성 예금을 흡수하기 위하여 발행되었으나, 1961년 2월 시티은행이 양도가능하다는 표시를 하여 발행하기 시작함으로써 본격화되었다. 우리나라는 1974년 1차 도입되었다가 폐지되고 1984년 6월 재도입되어 1990년대 이후 급속한 신장세를 보이고 있다. 만기 30일 이상으로 할인 발행되며 중도환매는 허용되지 않는다. 또한 양도성예금증서(CD)는 2001년부터 예금보호대상에서 제외되었다. 한국수출입은행을 제외한 모든 은행이 양도성예금증서를 발행할 수 있다. 현재 양도성예금증서는 대(對)고객 또는 은행간 거래에 의해 발행되고 있다. 대고객 거래는 은행이 창구 또는 중개기관을 통해 금융기관 및 일반개인ㆍ법인을 상대로 발행하는 방법으로 이루어진다. 은행간 거래는 발행은행이 매수은행에 직접 발행하는 방법이다. 은행간 거래로 발행되는 양도성예금증서는 지급준비금 예치대상에서 제외되는 대신 은행 이외의 금융기관ㆍ일반개인ㆍ법인에게 매도하는 것이 금지되어 있다. 대고객 거래의 매수처는 주로 개인 연기금ㆍ은행신탁ㆍ투자신탁회사ㆍ생명보험회사 및 지방자치단체이다. 중개업무는 증권회사ㆍ종합금융회사 및 한국자금중개가 담당하고 있다.	"
1825,금융,여신전문금융회사,"신용카드업, 시설대여업, 할부금융업, 신기술사업금융업 등 수신기능 없이 여신업무만을 행하는 금융회사를 말한다. 신용카드업은 신용카드의 이용과 관련된 대금의 결제 업무를 포함한 신용카드 발행 및 관리 또는 신용카드가맹점의 모집 및 관리 업무를 행하는 업종을 말한다. 시설대여업은 일정한 물건을 새로 취득하거나 대여 받아 거래 상대방에게 일정기간 이상 사용하게 하고, 그 기간에 걸쳐 일정대가를 정기적으로 분할하여 지급받으며, 그 기간 종료 후의 물건의 처분은 당사자 간 약정으로 정하는 방식의 금융업(일명 ‘리스’)을 말한다. 할부금융업은 재화 및 서비스 매매에 대하여 매수인과 매도인이 각각 약정을 맺고 재화 및 서비스의 구매자금을 매도인에게 지급하고 매수인으로부터 그 원리금을 분할하여 상환받는 방식의 금융을 행하는 업종을 말한다. 신기술사업금융업은 신기술사업자에 대한 투자, 융자, 경영 및 기술의 지도, 신기술사업투자조합의 설립, 신기술사업투자조합 자금의 관리ㆍ운용 업무를 종합적으로 행하는 것을 말한다."
1848,경영,연결재무제표,"	지배/종속관계에 있는 개별 기업들의 재무제표를 연결해 하나로 만든 재무제표를 말한다. 외부감사를 받아야 하는 기업 가운데 계열사와 지배ㆍ종속 관계에 있는 기업은 연결재무제표를 만들어야 한다. 기업집단 내의 개별회사 재무제표를 결합하여, 개별회사의 재무제표만으로는 파악할 수 없는 기업집단 전체의 경영성적과 재정상태를 적절하게 표시하는 것이 연결재무제표 작성의 목적이다. 연결재무제표는 연결재무상태표, 연결포괄손익계산서, 연결자본변동표, 연결현금흐름표 등으로 이루어지며 주석을 포함한다. 지배+G89회사는 연결실체 내 개별재무재무제표의 자산, 부채, 자본, 수익, 비용을 항목별로 합산하여 연결재무제표를 작성한다. 연결재무제표에는 모회사와 자회사 간의 내부거래나 연결된 기업간에 이전된 부채, 손실 등이 그대로 드러나게 돼 개별재무재표보다 경제적 실질을 잘 반영한다는 점, 출자로 연결된 회사집단의 재무상태와 경영성과에 대한 정보를 제공한다는 장점이 있다. 그러나 개별기업의 고유정보를 파악하기가 어렵고 출자관계가 없을 경우에는 내부거래를 한다 하더라도 실체를 파악하기가 어렵다는 단점이 있다. 지배회사가 실질적으로 지배하고 있지만 연결재무재표 작성의무에서 벗어나 이를 작성하지 않는 회사가 있다는 점에서, 한국의 그룹들과 같이 총수가 지배하는 기업집단의 경우 연결재무제표보다는 결합재무제표를 작성해야 전체적인 파악이 가능하다는 지적이 있다."
